,Training Size,Accuracy,AUC_ROC,Recall,Precision,f1
car,12856.0,61.9225384974335,0.6619632927797985,0.7248134328358209,0.598613251155624,0.6556962025316456
chill,35578.0,71.50927487352445,0.7847783074004658,0.7636060100166945,0.6997093467951659,0.7302626327133391
club,5487.0,63.860032804811375,0.6951010988748192,0.8413566739606126,0.598443579766537,0.6994088221919054
dance,39610.0,71.66767646167827,0.7890126293813029,0.6405327682760709,0.7559842801000357,0.6934862761163458
gym,15222.0,64.40677966101694,0.6911299269120335,0.7967893500391543,0.6125827814569537,0.692648059904697
happy,7104.0,58.40371621621622,0.6335007401330456,0.8212765957446808,0.5545977011494253,0.6620926243567752
morning,3025.0,52.72547076313181,0.65147525368223,0.16159695817490494,0.7024793388429752,0.26275115919629055
night,8610.0,57.282229965156795,0.6081647408323044,0.7894361170592434,0.5429553264604811,0.6433973240255962
park,118.0,40.0,0.43107769423558895,0.3157894736842105,0.35294117647058826,0.33333333333333337
party,34164.0,64.94555672637864,0.6964058258067101,0.7708149973596198,0.6194652709011176,0.6869019607843138
relax,13044.0,70.03219871205152,0.7710417922145634,0.8061224489795918,0.6626000762485703,0.7273488177442979
running,11437.0,61.91974822974036,0.6726284712764172,0.7243386243386244,0.5952173913043478,0.6534606205250597
sad,9406.0,71.3329081632653,0.8222587719298246,0.8863636363636364,0.6534226902824318,0.7522733535409203
shower,3498.0,61.921097770154375,0.6825132029951307,0.8974358974358975,0.5775577557755776,0.7028112449799196
sleep,4891.0,70.14101778050275,0.7864338391269419,0.8180677540777918,0.6559356136820925,0.7280848687883864
summer,16449.0,60.02188582892577,0.6502488763641299,0.5134643377001455,0.6226831421006178,0.5628240925408855
train,2479.0,56.71100362756953,0.6277394896036881,0.9691211401425178,0.5418326693227091,0.6950596252129471
training,9286.0,64.72868217054264,0.7085317274815686,0.7905759162303665,0.6101010101010101,0.6887115165336374
work,12697.0,58.82352941176471,0.6311554260710379,0.6080952380952381,0.5812471552116523,0.5943681638352338
workout,12619.0,68.43356310910387,0.7574403208023857,0.6471716203259827,0.6951596292481977,0.670307845084409
