,Accuracy,AUC_ROC,Recall,Precision,f1
car,59.32203389830508,0.6623008478133132,0.8236380424746076,0.5613593455003146,0.6676646706586826
chill,72.22838137472284,0.8125496222789776,0.6225296442687747,0.7677576601671309,0.68755846585594
club,57.171314741035864,0.6971979123256138,0.2475442043222004,0.7283236994219653,0.36950146627565983
dance,75.37756870512503,0.8268881860387564,0.799163179916318,0.7346153846153847,0.7655310621242486
gym,64.48818897637796,0.684567566310633,0.8772908366533865,0.5954570037858302,0.7094072164948454
happy,52.84888521882741,0.6447606031839558,0.998330550918197,0.511986301369863,0.6768534238822863
morning,54.60992907801418,0.6090417206993695,0.7272727272727273,0.5296167247386759,0.6129032258064516
night,50.78397212543554,0.5760277049339549,0.0798611111111111,0.5679012345679012,0.1400304414003044
park,54.74452554744526,0.6660215053763441,0.8064516129032258,0.5,0.6172839506172839
party,65.30343007915567,0.7008764146461941,0.7955819320804484,0.6191942519887093,0.6963924963924963
relax,65.58951965065502,0.7392861720437983,0.5697074010327022,0.6968421052631579,0.6268939393939393
running,59.84015984015984,0.6582692276984248,0.8605577689243028,0.5654450261780105,0.6824644549763034
sad,70.1492537313433,0.8583013488405912,0.48946716232961585,0.8531317494600432,0.6220472440944882
shower,56.6568047337278,0.6724550111651123,0.9797101449275363,0.5416666666666666,0.697626418988648
sleep,76.06892150606254,0.9216932251441978,0.9507772020725389,0.6853408029878618,0.7965274009766685
summer,59.522949042284054,0.6805282453185812,0.8500738552437223,0.5565764023210832,0.6727060198714202
train,52.54237288135594,0.5052303217937892,0.8186274509803921,0.5122699386503068,0.630188679245283
training,61.10414052697616,0.7057222788987128,0.4389027431421446,0.6743295019157088,0.5317220543806647
work,55.6406124093473,0.5864619106707002,0.5980629539951574,0.5513392857142857,0.5737514518002322
workout,66.82242990654206,0.7431865466315347,0.6407369498464688,0.6849015317286652,0.662083553675304
